YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2019-05,WEEKENDS/HOLIDAY,13,TRAIN,SW6,1875,1505
2019-05,WEEKDAY,13,TRAIN,SW6,4136,3749
2019-05,WEEKDAY,17,TRAIN,CC13,34806,68440
2019-05,WEEKENDS/HOLIDAY,17,TRAIN,NE12,18302,19972
2019-05,WEEKDAY,17,TRAIN,NE12,37284,49524
2019-05,WEEKENDS/HOLIDAY,17,TRAIN,CC13,18811,23410
2019-05,WEEKDAY,8,TRAIN,DT11,80215,70689
2019-05,WEEKENDS/HOLIDAY,8,TRAIN,NS21,8907,15232
2019-05,WEEKENDS/HOLIDAY,8,TRAIN,DT11,10921,10196
2019-05,WEEKDAY,8,TRAIN,NS21,59411,99174
2019-05,WEEKDAY,0,TRAIN,NE16-STC,560,4598
2019-05,WEEKENDS/HOLIDAY,0,TRAIN,NE16-STC,334,1980
2019-05,WEEKDAY,23,TRAIN,CC23,2810,506
2019-05,WEEKENDS/HOLIDAY,23,TRAIN,CC23,580,209
2019-05,WEEKENDS/HOLIDAY,22,TRAIN,DT13,3305,2694
2019-05,WEEKDAY,22,TRAIN,DT13,8936,5508
2019-05,WEEKENDS/HOLIDAY,23,TRAIN,NE14,1322,10217
2019-05,WEEKDAY,23,TRAIN,NE14,2510,21690
2019-05,WEEKDAY,22,TRAIN,NS9,31490,59913
2019-05,WEEKENDS/HOLIDAY,22,TRAIN,NS9,15824,25863
2019-05,WEEKENDS/HOLIDAY,12,TRAIN,DT22,3718,5419
2019-05,WEEKDAY,12,TRAIN,DT22,6232,7758
2019-05,WEEKDAY,18,TRAIN,DT28,39696,25124
2019-05,WEEKENDS/HOLIDAY,18,TRAIN,DT28,6933,5693
2019-05,WEEKDAY,12,TRAIN,DT34,4885,3166
2019-05,WEEKENDS/HOLIDAY,12,TRAIN,DT34,2779,1146
2019-05,WEEKDAY,9,TRAIN,SW7,4646,1100
2019-05,WEEKENDS/HOLIDAY,9,TRAIN,SW7,2164,669
2019-05,WEEKENDS/HOLIDAY,12,TRAIN,NE17-PTC,25146,21653
2019-05,WEEKDAY,12,TRAIN,NE17-PTC,32474,31607
2019-05,WEEKDAY,19,TRAIN,NE8,39394,64302
2019-05,WEEKENDS/HOLIDAY,19,TRAIN,NE8,26900,29607
2019-05,WEEKENDS/HOLIDAY,21,TRAIN,NS13,18105,34094
2019-05,WEEKDAY,21,TRAIN,NS13,44814,83857
2019-05,WEEKDAY,5,TRAIN,NS13,26541,3635
2019-05,WEEKENDS/HOLIDAY,5,TRAIN,NS13,4802,999
2019-05,WEEKENDS/HOLIDAY,5,TRAIN,PW6,93,5
2019-05,WEEKDAY,5,TRAIN,PW6,719,5
2019-05,WEEKDAY,13,TRAIN,CC21,14028,9383
2019-05,WEEKENDS/HOLIDAY,13,TRAIN,CC21,5195,5598
2019-05,WEEKDAY,14,TRAIN,PE7,2908,4742
2019-05,WEEKENDS/HOLIDAY,14,TRAIN,PE7,1910,2145
2019-05,WEEKDAY,10,TRAIN,CC20,5666,3610
2019-05,WEEKENDS/HOLIDAY,10,TRAIN,CC20,3336,2146
2019-05,WEEKDAY,21,TRAIN,CC24,20165,3835
2019-05,WEEKENDS/HOLIDAY,21,TRAIN,CC24,4241,1627
2019-05,WEEKDAY,12,TRAIN,EW8,22056,29475
2019-05,WEEKDAY,12,TRAIN,CC9,16570,14501
2019-05,WEEKENDS/HOLIDAY,12,TRAIN,EW8,15585,21778
2019-05,WEEKENDS/HOLIDAY,12,TRAIN,CC9,10369,8474
2019-05,WEEKENDS/HOLIDAY,20,TRAIN,BP5,969,988
2019-05,WEEKDAY,20,TRAIN,BP5,2321,2746
2019-05,WEEKENDS/HOLIDAY,12,TRAIN,EW15,10197,12631
2019-05,WEEKDAY,12,TRAIN,EW15,47462,47244
2019-05,WEEKENDS/HOLIDAY,7,TRAIN,SW4,285,229
2019-05,WEEKDAY,7,TRAIN,SW4,2990,1389
2019-05,WEEKENDS/HOLIDAY,22,TRAIN,DT33,1906,12426
2019-05,WEEKDAY,22,TRAIN,DT33,3724,29191
2019-05,WEEKENDS/HOLIDAY,11,TRAIN,EW24-NS1,25838,50635
2019-05,WEEKDAY,11,TRAIN,EW24-NS1,40165,71418
2019-05,WEEKDAY,21,TRAIN,EW25,4610,11489
2019-05,WEEKENDS/HOLIDAY,21,TRAIN,EW25,3581,4335
2019-05,WEEKDAY,16,TRAIN,CC2,6981,4670
2019-05,WEEKENDS/HOLIDAY,16,TRAIN,CC2,3258,2846
2019-05,WEEKDAY,14,TRAIN,CC12,11804,5545
2019-05,WEEKENDS/HOLIDAY,14,TRAIN,CC12,2799,2444
2019-05,WEEKDAY,16,TRAIN,NS20,65629,35275
2019-05,WEEKENDS/HOLIDAY,16,TRAIN,NS20,20903,16849
2019-05,WEEKDAY,16,TRAIN,NS14,24328,32466
2019-05,WEEKENDS/HOLIDAY,16,TRAIN,NS14,11955,11189
2019-05,WEEKDAY,11,TRAIN,NS15,26661,25622
2019-05,WEEKENDS/HOLIDAY,11,TRAIN,NS15,9025,4333
2019-05,WEEKENDS/HOLIDAY,5,TRAIN,CC22,184,76
2019-05,WEEKENDS/HOLIDAY,5,TRAIN,EW21,146,27
2019-05,WEEKDAY,5,TRAIN,EW21,1177,217
2019-05,WEEKDAY,5,TRAIN,CC22,1070,745
2019-05,WEEKDAY,11,TRAIN,BP4,7373,3795
2019-05,WEEKENDS/HOLIDAY,11,TRAIN,BP4,1326,589
2019-05,WEEKDAY,11,TRAIN,CE2,99,242
2019-05,WEEKDAY,11,TRAIN,NS27,4519,3598
2019-05,WEEKENDS/HOLIDAY,11,TRAIN,NS27,708,1423
2019-05,WEEKENDS/HOLIDAY,11,TRAIN,CE2,144,323
2019-05,WEEKENDS/HOLIDAY,9,TRAIN,CC15,10922,12244
2019-05,WEEKDAY,9,TRAIN,CC15,33664,28944
2019-05,WEEKDAY,9,TRAIN,NS17,36842,8180
2019-05,WEEKENDS/HOLIDAY,9,TRAIN,NS17,10994,3216
2019-05,WEEKENDS/HOLIDAY,6,TRAIN,EW10,4871,1253
2019-05,WEEKDAY,6,TRAIN,EW10,20649,4129
2019-05,WEEKDAY,8,TRAIN,NS28,1443,3457
2019-05,WEEKENDS/HOLIDAY,8,TRAIN,NS28,593,1921
2019-05,WEEKENDS/HOLIDAY,7,TRAIN,EW33,2544,2688
2019-05,WEEKDAY,7,TRAIN,EW33,8668,12401
2019-05,WEEKENDS/HOLIDAY,18,TRAIN,BP12,1677,1724
2019-05,WEEKDAY,18,TRAIN,BP12,5230,9408
2019-05,WEEKENDS/HOLIDAY,0,TRAIN,EW14-NS26,185,115
2019-05,WEEKDAY,0,TRAIN,EW14-NS26,688,161
2019-05,WEEKENDS/HOLIDAY,0,TRAIN,CG2,263,137
2019-05,WEEKDAY,0,TRAIN,CG2,353,360
2019-05,WEEKDAY,16,TRAIN,NE5,15422,13493
2019-05,WEEKENDS/HOLIDAY,16,TRAIN,NE5,6757,7625
2019-05,WEEKENDS/HOLIDAY,11,TRAIN,NE16-STC,26299,19010
2019-05,WEEKDAY,11,TRAIN,NE16-STC,38238,28362
2019-05,WEEKENDS/HOLIDAY,13,TRAIN,EW9,15071,12597
2019-05,WEEKDAY,13,TRAIN,EW9,24856,16987
2019-05,WEEKENDS/HOLIDAY,5,TRAIN,EW15,190,55
2019-05,WEEKDAY,5,TRAIN,EW15,995,1184
2019-05,WEEKDAY,18,TRAIN,NS7,34363,35906
2019-05,WEEKENDS/HOLIDAY,18,TRAIN,NS7,21446,10970
2019-05,WEEKDAY,0,TRAIN,NS15,508,1704
2019-05,WEEKENDS/HOLIDAY,0,TRAIN,NS15,195,741
2019-05,WEEKENDS/HOLIDAY,15,TRAIN,NS15,7440,6033
2019-05,WEEKDAY,15,TRAIN,NS15,46606,18263
2019-05,WEEKENDS/HOLIDAY,22,TRAIN,DT7,1000,1018
2019-05,WEEKDAY,22,TRAIN,DT7,2319,2986
2019-05,WEEKDAY,15,TRAIN,PW4,423,430
2019-05,WEEKENDS/HOLIDAY,15,TRAIN,PW4,222,99
2019-05,WEEKENDS/HOLIDAY,17,TRAIN,CC6,9251,19338
2019-05,WEEKDAY,17,TRAIN,CC6,13710,17021
2019-05,WEEKDAY,8,TRAIN,NE8,36786,36539
2019-05,WEEKENDS/HOLIDAY,8,TRAIN,NE8,7337,10103
2019-05,WEEKDAY,20,TRAIN,CC7,5356,9979
2019-05,WEEKENDS/HOLIDAY,20,TRAIN,CC7,2269,3968
2019-05,WEEKENDS/HOLIDAY,20,TRAIN,NS3,6093,10134
2019-05,WEEKDAY,20,TRAIN,NS3,11476,31639
2019-05,WEEKDAY,0,TRAIN,BP13,0,7
2019-05,WEEKDAY,10,TRAIN,SE3,3486,1105
2019-05,WEEKENDS/HOLIDAY,10,TRAIN,SE3,2127,657
2019-05,WEEKENDS/HOLIDAY,9,TRAIN,EW16,1514,2709
2019-05,WEEKDAY,9,TRAIN,EW16,5939,15707
2019-05,WEEKDAY,9,TRAIN,NE3,18756,54494
2019-05,WEEKENDS/HOLIDAY,9,TRAIN,NE3,5538,6371
2019-05,WEEKDAY,18,TRAIN,NE16-STC,64554,144628
2019-05,WEEKENDS/HOLIDAY,18,TRAIN,NE16-STC,24608,31403
2019-05,WEEKENDS/HOLIDAY,15,TRAIN,EW23,22513,21652
2019-05,WEEKDAY,15,TRAIN,EW23,45437,39332
2019-05,WEEKENDS/HOLIDAY,20,TRAIN,NE8,32506,22048
2019-05,WEEKDAY,20,TRAIN,NE8,41457,43018
2019-05,WEEKENDS/HOLIDAY,19,TRAIN,EW33,1516,2868
2019-05,WEEKDAY,19,TRAIN,EW33,4996,6421
2019-05,WEEKENDS/HOLIDAY,6,TRAIN,CC16,1642,833
2019-05,WEEKDAY,6,TRAIN,CC16,12837,6149
2019-05,WEEKDAY,11,TRAIN,BP12,3294,2035
2019-05,WEEKENDS/HOLIDAY,11,TRAIN,BP12,1980,1279
2019-05,WEEKDAY,13,TRAIN,NE17-PTC,37018,37569
2019-05,WEEKENDS/HOLIDAY,13,TRAIN,NE17-PTC,25552,23580
2019-05,WEEKDAY,7,TRAIN,BP5,8575,3634
2019-05,WEEKENDS/HOLIDAY,7,TRAIN,BP5,762,469
2019-05,WEEKDAY,8,TRAIN,SW6,10993,2553
2019-05,WEEKENDS/HOLIDAY,8,TRAIN,SW6,1817,587
2019-05,WEEKENDS/HOLIDAY,16,TRAIN,EW4,8918,7558
2019-05,WEEKDAY,16,TRAIN,EW4,20477,15075
2019-05,WEEKENDS/HOLIDAY,14,TRAIN,CC2,2697,3122
2019-05,WEEKDAY,14,TRAIN,CC2,5236,6464
2019-05,WEEKENDS/HOLIDAY,12,TRAIN,NE14,19258,11093
2019-05,WEEKDAY,12,TRAIN,NE14,29168,17857
2019-05,WEEKENDS/HOLIDAY,20,TRAIN,DT19,5831,4392
2019-05,WEEKDAY,20,TRAIN,NE4,78557,36863
2019-05,WEEKDAY,20,TRAIN,DT19,18053,8791
2019-05,WEEKENDS/HOLIDAY,20,TRAIN,NE4,35220,18220
2019-05,WEEKENDS/HOLIDAY,0,TRAIN,SE5,35,156
2019-05,WEEKDAY,0,TRAIN,SE5,50,368
2019-05,WEEKENDS/HOLIDAY,23,TRAIN,EW6,691,3111
2019-05,WEEKDAY,23,TRAIN,EW6,1442,7042
2019-05,WEEKENDS/HOLIDAY,12,TRAIN,CC4-DT15,4933,13330
2019-05,WEEKDAY,12,TRAIN,CC4-DT15,19738,29519
2019-05,WEEKENDS/HOLIDAY,15,TRAIN,NE4,35842,31229
2019-05,WEEKDAY,15,TRAIN,DT19,11356,9322
2019-05,WEEKDAY,15,TRAIN,NE4,54690,48187
2019-05,WEEKENDS/HOLIDAY,15,TRAIN,DT19,6953,6119
2019-05,WEEKENDS/HOLIDAY,8,TRAIN,SW1,655,621
2019-05,WEEKDAY,8,TRAIN,SW1,4404,5775
2019-05,WEEKENDS/HOLIDAY,9,TRAIN,NS10,19738,7079
2019-05,WEEKDAY,9,TRAIN,NS10,66610,23457
2019-05,WEEKDAY,7,TRAIN,DT33,78285,19127
2019-05,WEEKENDS/HOLIDAY,7,TRAIN,DT33,6677,2553
2019-05,WEEKDAY,0,TRAIN,DT24,33,505
2019-05,WEEKENDS/HOLIDAY,0,TRAIN,DT24,15,199
2019-05,WEEKDAY,0,TRAIN,NS18,229,1829
2019-05,WEEKENDS/HOLIDAY,0,TRAIN,NS18,98,753
2019-05,WEEKDAY,22,TRAIN,CC1-NE6-NS24,57570,12206
2019-05,WEEKENDS/HOLIDAY,22,TRAIN,CC1-NE6-NS24,21551,6342
2019-05,WEEKENDS/HOLIDAY,21,TRAIN,EW3,4974,10674
2019-05,WEEKDAY,21,TRAIN,EW3,11996,26114
2019-05,WEEKENDS/HOLIDAY,21,TRAIN,CG1,6996,1102
2019-05,WEEKDAY,21,TRAIN,DT35,19813,2752
2019-05,WEEKENDS/HOLIDAY,21,TRAIN,DT35,8527,1556
2019-05,WEEKDAY,21,TRAIN,CG1,9067,1982
2019-05,WEEKDAY,13,TRAIN,NS21,30724,48488
2019-05,WEEKENDS/HOLIDAY,13,TRAIN,DT11,19721,17535
2019-05,WEEKENDS/HOLIDAY,13,TRAIN,NS21,17852,20250
2019-05,WEEKDAY,13,TRAIN,DT11,29321,30694
2019-05,WEEKDAY,7,TRAIN,CC23,3894,45398
2019-05,WEEKENDS/HOLIDAY,7,TRAIN,CC23,886,3132
2019-05,WEEKDAY,16,TRAIN,SW1,3143,1743
2019-05,WEEKENDS/HOLIDAY,16,TRAIN,SW1,1127,814
2019-05,WEEKDAY,20,TRAIN,NE15,6514,34845
2019-05,WEEKENDS/HOLIDAY,20,TRAIN,NE15,3319,11272
2019-05,WEEKENDS/HOLIDAY,13,TRAIN,EW29,6453,4318
2019-05,WEEKDAY,13,TRAIN,EW29,8892,9850
2019-05,WEEKENDS/HOLIDAY,13,TRAIN,EW30,936,278
2019-05,WEEKDAY,13,TRAIN,EW30,1055,943
2019-05,WEEKDAY,7,TRAIN,EW32,3837,23096
2019-05,WEEKENDS/HOLIDAY,7,TRAIN,EW32,1574,4357
2019-05,WEEKDAY,7,TRAIN,NE14,114439,35826
2019-05,WEEKENDS/HOLIDAY,7,TRAIN,NE14,12107,4861
